"date","gdp_change","unrate","nfjobs","treas10yr","treas3mo","treas10yr3mo","fedintrate","libor3mo","personincomechg","corpprofitchg"
1986 Q1,5.9,7.2,98934,7.39,6.53,0.86,7.48,7.4375,4.1,-16.4465695561992
1986 Q2,3.4,7.2,99155,7.35,6.13,1.22,6.92,6.875,3.4,-2.18898439267134
1986 Q3,5.6,7,99934,7.45,5.34,2.11,5.89,6.125,4.4,-0.849863270296991
1986 Q4,4.4,6.6,100509,7.23,5.83,1.4,6.91,6.4375,3.4,2.61517559869155
1987 Q1,5.7,6.6,101164,7.51,5.79,1.72,6.13,6.6875,3,6.73186198745339
1987 Q2,7.3,6.2,101900,8.38,5.91,2.47,6.73,7.1875,0.8,14.6429503117164
1987 Q3,6.7,5.9,102647,9.63,6.83,2.8,7.22,8.375,1.9,6.88880117026958
1987 Q4,10.5,5.7,103661,8.83,5.86,2.97,6.77,7.4375,3.1,3.84456638383102
1988 Q1,5.3,5.7,104489,8.57,5.87,2.7,6.58,6.90625,3.7,4.44359839007942
1988 Q2,9.5,5.4,105326,8.82,6.77,2.05,7.51,7.9375,5.8,6.2249888839484
1988 Q3,7.3,5.4,106013,8.87,7.49,1.38,8.19,8.625,4.9,-0.19496264787181
1988 Q4,9.1,5.3,106898,9.14,8.37,0.77,8.76,9.3125,4.5,4.61645419440646
1989 Q1,8.5,5,107621,9.3,9.23,0.07,9.85,10.3125,4.1,-0.642877780988149
1989 Q2,7.6,5.3,108027,8.1,8.26,-0.16,9.53,9.3125,2.8,-2.34605597964377
1989 Q3,6,5.3,108369,8.31,8.18,0.13,9.02,9.1875,2.5,-3.99670942429815
1989 Q4,3.7,5.4,108836,7.93,7.8,0.13,8.45,8.375,2.4,0.14074731785243
1990 Q1,9,5.2,109644,8.65,8.07,0.58,8.28,8.5,2,4.10303865691986
1990 Q2,6.1,5.2,109856,8.43,8,0.43,8.29,8.375,3,5.01099048235385
1990 Q3,3.7,5.9,109518,8.82,7.37,1.45,8.2,8.3125,2.3,2.07478873139668
1990 Q4,-0.7,6.3,109166,8.08,6.63,1.45,7.31,7.57813,0.6,0.461485079805679
1991 Q1,2,6.8,108574,8.05,5.92,2.13,6.12,6.375,0.1,4.75356612440854
1991 Q2,6.2,6.9,108334,8.24,5.71,2.53,5.9,6.1875,0.1,2.03136900620853
1991 Q3,5.3,6.9,108336,7.47,5.26,2.21,5.45,5.625,0.5,1.73240610882393
1991 Q4,3.8,7.3,108328,6.71,3.96,2.75,4.43,4.25,2.2,1.15623461397965
1992 Q1,6.4,7.4,108365,7.54,4.15,3.39,3.98,4.36719,4,3.18129720054641
1992 Q2,6.9,7.8,108715,7.14,3.65,3.49,3.76,3.9375,4.3,3.70161844996439
1992 Q3,6.1,7.6,108959,6.37,2.75,3.62,3.22,3.26563,4.4,-5.13926673299114
1992 Q4,7.1,7.4,109495,6.7,3.15,3.55,2.92,3.4375,4,2.09691341028408
1993 Q1,2.9,7,109994,6.03,2.95,3.08,3.07,3.25,2.3,-0.320591488265687
1993 Q2,4.8,7,110749,5.8,3.1,2.7,3.04,3.3125,1.6,4.35376052189191
1993 Q3,4.4,6.7,111448,5.4,2.98,2.42,3.09,3.375,1.2,3.68621442034029
1993 Q4,7.9,6.5,112314,5.83,3.07,2.76,2.96,3.375,1.5,5.47546869776054
1994 Q1,5.9,6.5,113242,6.77,3.56,3.21,3.34,3.9375,1.8,7.87726878019934
1994 Q2,7.6,6.1,114238,7.34,4.26,3.08,4.25,4.875,2.5,3.29337399227152
1994 Q3,4.7,5.9,115247,7.62,4.8,2.82,4.73,5.5,3,5.10860964829454
1994 Q4,7,5.5,116165,7.84,5.68,2.16,5.45,6.5,3.7,3.04704983352437
1995 Q1,3.6,5.4,116907,7.2,5.88,1.32,5.98,6.25,3.9,3.20038313668887
1995 Q2,3.2,5.6,117286,6.21,5.6,0.61,6,6.05859,3.2,5.04423624313788
1995 Q3,5.5,5.6,117875,6.17,5.4,0.77,5.8,5.95313,3.5,1.53687982247195
1995 Q4,4.7,5.6,118320,5.58,5.1,0.48,5.6,5.625,2.7,1.39110837532257
1996 Q1,5,5.5,118993,6.34,5.13,1.21,5.31,5.47266,2.8,3.81290823984479
1996 Q2,8.6,5.3,119769,6.73,5.18,1.55,5.27,5.58203,3.4,0.374506150968279
1996 Q3,5,5.2,120410,6.72,5.14,1.58,5.3,5.625,3.3,-0.812261350783028
1996 Q4,6.5,5.4,121143,6.43,5.21,1.22,5.29,5.5625,3.2,2.34308630731435
1997 Q1,5.1,5.2,121990,6.92,5.35,1.57,5.39,5.77344,3.3,2.21989567948551
1997 Q2,7.7,5,122814,6.51,5.25,1.26,5.56,5.89844,3.2,3.3835439055973
1997 Q3,6.9,4.9,123585,6.12,5.06,1.06,5.54,5.76953,3.6,3.89163293611479
1997 Q4,4.8,4.7,124549,5.75,5.36,0.39,5.5,5.8125,4.6,0.331368281959343
1998 Q1,4.7,4.7,125164,5.67,5.16,0.51,5.49,5.71094,5.8,-12.6608939457713
1998 Q2,4.7,4.5,126076,5.44,5.1,0.34,5.56,5.71875,6.3,-0.461709764112184
1998 Q3,6.9,4.6,126752,4.44,4.37,0.07,5.51,5.3125,6.1,-0.873040198503405
1998 Q4,7.8,4.4,127596,4.65,4.48,0.17,4.68,5.06563,5.4,-3.40199424532408
1999 Q1,5.4,4.2,128227,5.25,4.49,0.76,4.81,5,4.1,6.6433972765843
1999 Q2,4.6,4.3,129089,5.81,4.78,1.03,4.76,5.3675,3,2.82982075125413
1999 Q3,6.8,4.2,129772,5.9,4.88,1.02,5.22,6.08375,2.6,-0.200790519712801
1999 Q4,9.3,4,130772,6.45,5.33,1.12,5.3,6.00375,3.4,3.62690343036622
2000 Q1,4.2,4,131596,6.03,5.88,0.15,5.85,6.29,4.4,-5.14936280140869
2000 Q2,10.2,4,132061,6.03,5.88,0.15,6.53,6.76938,5.3,-1.47208497040479
2000 Q3,2.8,3.9,132353,5.8,6.23,-0.43,6.52,6.81125,5.8,-1.25304894469964
2000 Q4,4.7,3.9,132709,5.12,5.89,-0.77,6.4,6.39875,4.6,-4.18632557885836
2001 Q1,1.3,4.3,132747,4.93,4.3,0.63,5.31,4.87875,3.6,7.52712220035459
2001 Q2,4.9,4.5,132299,5.42,3.65,1.77,3.97,3.83625,2.3,4.32147786790704
2001 Q3,-0.1,5,131771,4.6,2.4,2.2,3.07,2.59,3.4,-8.34944945398524
2001 Q4,2.4,5.7,130982,5.07,1.74,3.33,1.82,1.88125,1.8,-3.1952363153825
2002 Q1,4.9,5.7,130717,5.42,1.79,3.63,1.73,2.03,3.1,9.93131795171418
2002 Q2,3.9,5.8,130684,4.86,1.7,3.16,1.75,1.86,4,10.7917252042311
2002 Q3,3.7,5.7,130501,3.63,1.57,2.06,1.75,1.79,1.6,9.39217159687884
2002 Q4,2.9,6,130472,3.83,1.22,2.61,1.24,1.38,3.5,11.1890374327451
2003 Q1,4.1,5.9,130232,3.83,1.14,2.69,1.25,1.27875,1.4,-0.497134409699418
2003 Q2,4.7,6.3,130194,3.54,0.9,2.64,1.22,1.11625,2,0.255837771689049
2003 Q3,9.3,6.1,130254,3.96,0.95,3.01,1.01,1.16,3.8,5.60466797622883
2003 Q4,7.2,5.7,130588,4.27,0.95,3.32,0.98,1.15188,3.4,6.89621318923843
2004 Q1,5.2,5.8,131142,3.86,0.95,2.91,1,1.11,3.7,13.6639383608613
2004 Q2,6.5,5.6,131793,4.62,1.33,3.29,1.03,1.61,3.6,4.25293065016747
2004 Q3,6.6,5.4,132093,4.14,1.71,2.43,1.61,2.02,2.5,4.39255417321582
2004 Q4,7.3,5.4,132624,4.24,2.22,2.02,2.16,2.56438,3.6,0.0402894903825057
2005 Q1,7.9,5.2,133156,4.5,2.79,1.71,2.63,3.12,1.9,21.5711322823364
2005 Q2,4.7,5,133942,3.94,3.13,0.81,3.04,3.51625,1.7,1.94661698381806
2005 Q3,7.4,5,134566,4.34,3.55,0.79,3.62,4.065,1.3,3.54640166258287
2005 Q4,5.9,4.9,135149,4.39,4.08,0.31,4.16,4.53625,1.3,5.12912050630412
2006 Q1,8.4,4.7,136047,4.86,4.63,0.23,4.59,5,4.5,1.77344367116041
2006 Q2,4.4,4.6,136325,5.15,5.01,0.14,4.99,5.48063,3.8,2.68299379733343
2006 Q3,3.5,4.5,136843,4.64,4.89,-0.25,5.25,5.37,3.8,1.38076820232738
2006 Q4,5,4.4,137249,4.71,5.02,-0.31,5.24,5.36,3.8,-3.22817131903528
2007 Q1,5,4.4,137793,4.65,5.04,-0.39,5.26,5.35,2.7,-5.16939325460102
2007 Q2,5,4.6,138069,5.03,4.82,0.21,5.25,5.36,2.7,5.6471676279648
2007 Q3,4.3,4.7,138095,4.59,3.82,0.77,4.94,5.22875,2.5,-3.92595781932011
2007 Q4,4.1,5,138392,4.04,3.36,0.68,4.24,4.7025,1.3,1.65475549900558
2008 Q1,-0.8,5.1,138275,3.45,1.38,2.07,2.61,2.68813,0.7,-7.84226422212327
2008 Q2,4.3,5.6,137687,3.99,1.9,2.09,2,2.78313,2.3,1.95015374656091
2008 Q3,0.8,6.1,136753,3.85,0.92,2.93,1.81,4.0525,0,-4.61350029336284
2008 Q4,-7.2,7.3,134839,2.25,0.11,2.14,0.16,1.425,0.8,-41.1611097967874
2009 Q1,-4.5,8.7,132512,2.71,0.21,2.5,0.18,1.19188,0.1,50.0813168194794
2009 Q2,-1.2,9.5,131008,3.53,0.19,3.34,0.21,0.595,-0.6,7.29140684326346
2009 Q3,1.9,9.8,130244,3.31,0.14,3.17,0.15,0.28688,0.4,15.9604027232815
2009 Q4,5.9,9.9,129788,3.85,0.06,3.79,0.12,0.25063,-0.5,8.60816658696897
2010 Q1,2.6,9.9,129879,3.84,0.16,3.68,0.16,0.2915,0.5,4.6266221002853
2010 Q2,5.7,9.4,130511,2.97,0.18,2.79,0.18,0.53394,1,-0.882798818578634
2010 Q3,4.2,9.5,130357,2.53,0.16,2.37,0.19,0.29,2.9,5.47489863862611
2010 Q4,4.3,9.3,130822,3.3,0.12,3.18,0.18,0.30281,3.5,-0.0668793471575557
2011 Q1,1.2,9,131288,3.47,0.09,3.38,0.14,0.303,4,-8.43894207374661
2011 Q2,5.6,9.1,131939,3.18,0.03,3.15,0.09,0.24575,2.1,4.43492802113803
2011 Q3,2.5,9,132358,1.92,0.02,1.9,0.08,0.37433,1.8,0.672608048664824
2011 Q4,5.4,8.5,132896,1.89,0.02,1.87,0.07,0.581,1.6,5.04597468143886
2012 Q1,5.8,8.2,133752,2.23,0.07,2.16,0.13,0.46815,2.4,16.2690943862798
2012 Q2,3.3,8.2,134007,1.67,0.09,1.58,0.16,0.4606,3.6,-4.1686238732209
2012 Q3,2.6,7.8,134518,1.65,0.1,1.55,0.14,0.3585,2.4,0.921650032779286
2012 Q4,2.5,7.9,135072,1.78,0.05,1.73,0.16,0.306,4.9,-1.78207812123566
2013 Q1,5.3,7.5,135680,1.87,0.07,1.8,0.14,0.2826,-1.2,-1.08364083158653
2013 Q2,1.7,7.5,136274,2.52,0.04,2.48,0.09,0.2731,-1.3,-0.502123934989407
2013 Q3,5.2,7.2,136815,2.64,0.02,2.62,0.08,0.24885,-0.2,2.00173207664838
2013 Q4,5.7,6.7,137373,3.04,0.07,2.97,0.09,0.2461,-2.5,2.56704341777088
2014 Q1,0.5,6.7,137968,2.73,0.05,2.68,0.08,0.2306,3,-3.86006056703274
2014 Q2,7.9,6.1,138837,2.53,0.04,2.49,0.1,0.2307,3.6,5.51358525320595
2014 Q3,6.8,5.9,139566,2.52,0.02,2.5,0.09,0.2351,4.4,2.80245754546775
2014 Q4,2.9,5.6,140377,2.17,0.04,2.13,0.12,0.2556,5.3,-2.02745201530004
2015 Q1,3,5.4,140910,1.94,0.03,1.91,0.11,0.27075,5.1,-5.35573976794349
2015 Q2,5.3,5.3,141699,2.35,0.01,2.34,0.13,0.2832,4.4,1.18246245570617
2015 Q3,2.8,5,142281,2.06,0,2.06,0.14,0.325,4,-3.12820504268387
2015 Q4,0.1,5,143097,2.27,0.16,2.11,0.24,0.6127,3,-5.7801083293308
2016 Q1,1.6,5,143662,1.78,0.21,1.57,0.36,0.6286,2.5,2.78642956242745
2016 Q2,4.7,4.9,144158,1.49,0.26,1.23,0.38,0.6541,1.6,4.24833483737668
2016 Q3,3.7,5,144916,1.6,0.29,1.31,0.4,0.85367,1.3,-1.80717995238071
2016 Q4,4,4.7,145442,2.45,0.51,1.94,0.54,0.99789,1.6,3.30845068465873
2017 Q1,4.2,4.4,145944,2.4,0.76,1.64,0.79,1.14956,2.2,4.50224459470665
2017 Q2,3.5,4.3,146512,2.31,1.03,1.28,1.04,1.29917,2.9,-0.553540455260759
2017 Q3,5.4,4.2,146929,2.33,1.06,1.27,1.15,1.33389,3.1,0.786031192158987
2017 Q4,6.4,4.1,147551,2.4,1.39,1.01,1.3,1.69428,3.4,-10.9299003926519
2018 Q1,5,4,148254,2.74,1.73,1.01,1.51,2.31175,3.9,10.2856837413057
2018 Q2,7.1,4,148888,2.85,1.93,0.92,1.82,2.33575,3.9,0.950779891106057
2018 Q3,4.8,3.7,149348,3.05,2.19,0.86,1.95,2.39838,4.1,0.163453254796653
2018 Q4,2.9,3.9,149865,2.69,2.45,0.24,2.27,2.80763,3.9,-1.54639425109504
2019 Q1,3.9,3.8,150282,2.41,2.4,0.01,2.41,2.59975,3.3,-1.53222709563919
2019 Q2,4.7,3.7,150759,2,2.12,-0.12,2.38,2.31988,3,3.31618934606188
2019 Q3,3.8,3.5,151368,1.68,1.88,-0.2,2.04,2.08513,2.9,-1.24226975691777
